"background","knock_in","background_fun.mean","background_fun.sd","delta_fun.mean","delta_fun.sd"
"Ku,Lt,Sp,Wa","Ap",0.941716666666667,0.0123179070191869,-0.00823333333333343,0.0252488283556552
"Ku,Lt,Sc5,Sp,Wa","Ap",0.912183333333333,0.0360143837005901,0.04185,0.0276673544091226
"Ku,Lt,Sc8,Sp,Wa","Ap",0.937616666666667,0.0162995654338799,0.0121166666666668,0.0166338760766495
"Hop,Lt,Td,Zb","Ap",0.923616666666667,0.0226872394383568,-0.0830333333333333,0.0274637184906438
"Hop,Lt,Sc5,Td,Zb","Ap",0.936483333333333,0.0262712929513059,0.00595000000000001,0.00569231938668237
"Hop,Lt,Sc8,Td,Zb","Ap",0.92845,0.00697262504369771,-0.0519666666666668,0.0211264250012475
"Hop,Ku,Lt,Sp","Ap",0.783016666666667,0.0182376213726827,0.00485000000000002,0.0310338122053995
"Hop,Ku,Lt,Sc5,Sp","Ap",0.909183333333333,0.0357302859397086,9.9999999999989e-05,0.0104793845239117
"Hop,Ku,Lt,Sc8,Sp","Ap",0.936633333333333,0.0147037693580025,-0.0292833333333333,0.0154937352931219
"Hop,Pk,Sp,Wa,Zb","Ap",0.71805,0.0275363396260287,0.000699999999999997,0.0105218819609421
"Hop,Pk,Sc5,Sp,Wa,Zb","Ap",0.81875,0.0291098351077432,-0.0766166666666667,0.0322265547853526
"Hop,Pk,Sc8,Sp,Wa,Zb","Ap",0.847933333333333,0.00933505936421049,-0.0534666666666666,0.0227285246624882
"Ku,Lt,Sp","Ap",0.920533333333333,0.0225671405661713,-0.0491,0.0385100960788207
"Ku,Lt,Sc5,Sp","Ap",0.915733333333333,0.0377828113476662,-0.08385,0.0360970912955601
"Ku,Lt,Sc8,Sp","Ap",0.943316666666667,0.0143001165496417,-0.00691666666666664,0.006004650975147
"Sp,Td,Wa,Zb","Ap",0.782933333333333,0.00936780835272221,-0.0304666666666667,0.0165750062845639
"Sc5,Sp,Td,Wa,Zb","Ap",0.950783333333333,0.00624286259125839,0.00879999999999999,0.00736834445448913
"Sc8,Sp,Td,Wa,Zb","Ap",0.947466666666667,0.0186433187317423,0.0127,0.0197914754376727
"Ku,Lt,Mp,Pk,Td","Ap",0.765916666666667,0.00172143351115669,-0.0614333333333333,0.0165436795584698
"Ku,Lt,Mp,Pk,Sc5,Td","Ap",0.864833333333333,0.0401698373575663,-0.101616666666667,0.0267150394597001
"Ku,Lt,Mp,Pk,Sc8,Td","Ap",0.842816666666667,0.0152238573736532,-0.0468166666666666,0.00942686763104976
"Ku,Lt,Pk,Wa,Zb","Ap",0.8834,0.00805543294925851,-0.0781666666666667,0.0234101651709963
"Ku,Lt,Pk,Sc5,Wa,Zb","Ap",0.935383333333333,0.020184172842436,-0.0726666666666666,0.00254230866208911
"Ku,Lt,Pk,Sc8,Wa,Zb","Ap",0.922733333333333,0.0240883962382998,-0.0601333333333333,0.00636873875530575
"Ku,Pk,Td,Zb","Ap",0.647433333333333,0.00872386573333943,-0.0229,0.023862313383241
"Ku,Pk,Sc5,Td,Zb","Ap",0.893333333333333,0.0312104683292855,-0.0817166666666667,0.00721809069860815
"Ku,Pk,Sc8,Td,Zb","Ap",0.85575,0.0265173528090569,-0.0357833333333334,0.0044286943147313
"Td,Wa,Zb","Ap",0.68805,0.0237419460028027,0.00754999999999995,0.0398184630542164
"Sc5,Td,Wa,Zb","Ap",0.947333333333333,0.00759939690589549,-0.0369666666666666,0.0133061389340912
"Sc8,Td,Wa,Zb","Ap",0.942516666666667,0.018657594521624,-0.00701666666666671,0.00142507309754033
"Lt,Mp,Pk,Wa","Ap",0.721516666666667,0.0116084380229784,-0.03475,0.0139002697815546
"Lt,Mp,Pk,Sc5,Wa","Ap",0.896216666666667,0.0287429266661092,-0.0818000000000001,0.0203993259692569
"Lt,Mp,Pk,Sc8,Wa","Ap",0.8915,0.0136445043882143,-0.0560166666666667,0.0171482020437517
"","Ap",0,0,0.344983333333333,0.0258364245462358
"Mp","Ap",0.343833333333333,0.125660428669225,-0.1254,0.208391194631635
"Pk","Ap",0.27805,0.0306466556087284,0.0236166666666666,0.122491074504771
"Td","Ap",0.839533333333333,0.0222884686179499,-0.372533333333333,0.0810426482374147
"Hop","Ap",0.414283333333333,0.167803280162616,0.146266666666667,0.135108348496062
"Ku","Ap",0.521916666666667,0.118528945128746,-0.086,0.194916065269131
"Lt","Ap",0.95405,0.000867467578644874,-0.0746,0.0505093308211464
"Sp","Ap",0.952666666666667,0.000453688586293823,-0.0993666666666667,0.0475334706636632
"Wa","Ap",0.292616666666667,0.00775650264831602,-0.129216666666667,0.0416284257849529
"Zb","Ap",0.448016666666667,0.0398236843264575,-0.0995833333333334,0.0551507555100865
"Sc5","Ap",0.941972222222222,0.0120023989309387,0.0124611111111111,0.0115516762371635
"Sc8","Ap",0.947708823529412,0.00817225928365637,0.00714117647058824,0.00805936236927642
"Ap,Pk,Sp,Zb","Hop",0.40655,0.083902219875281,0.420616666666667,0.196875876717625
"Ap,Pk,Sc5,Sp,Zb","Hop",0.9578,0.00394239774756431,-0.000333333333333297,0.000378593889719977
"Ap,Pk,Sc8,Sp,Zb","Hop",0.954866666666667,0.000548482755730148,0.00241666666666666,0.00337354907083523
"Ap,Lt,Sp,Wa","Hop",0.958516666666667,0.0046022639356444,-0.1128,0.0287712095678996
"Ap,Lt,Sc5,Sp,Wa","Hop",0.94985,0.0178485993848257,0.0084333333333334,0.0161831960172684
"Ap,Lt,Sc8,Sp,Wa","Hop",0.958116666666667,0.0046627066531504,-0.000233333333333271,0.000956991814663725
"Lt,Td,Wa,Zb","Hop",0.930033333333333,0.00625106657565996,-0.150833333333333,0.0315677578128909
"Lt,Sc5,Td,Wa,Zb","Hop",0.953916666666667,0.00354694704405536,-0.0112166666666667,0.0189024028454938
"Lt,Sc8,Td,Wa,Zb","Hop",0.948566666666667,0.0187809300444183,-0.0491666666666667,0.0314874710533147
"Ap,Mp,Sp,Zb","Hop",0.535833333333333,0.0526564415179505,0.0182333333333334,0.0454164778283536
"Ap,Mp,Sc5,Sp,Zb","Hop",0.92475,0.0290017671875353,-0.0495499999999999,0.0161232169556822
"Ap,Mp,Sc8,Sp,Zb","Hop",0.937666666666667,0.0172016229854433,-0.0145,0.010219589032833
"Ap,Ku,Lt,Sp","Hop",0.871433333333333,0.0419163552009634,-0.0835666666666666,0.0390051705974135
"Ap,Ku,Lt,Sc5,Sp","Hop",0.831883333333333,0.00637501633984836,0.0774,0.0317951647267317
"Ap,Ku,Lt,Sc8,Sp","Hop",0.9364,0.0138813724105364,-0.02905,0.0158367452464198
"Ap,Mp,Pk,Sp","Hop",0.413333333333333,0.0447209775534182,0.0561333333333333,0.031539987846119
"Ap,Mp,Pk,Sc5,Sp","Hop",0.840633333333333,0.0142023178859414,-0.07875,0.0198076374159061
"Ap,Mp,Pk,Sc8,Sp","Hop",0.847916666666667,0.0127555216801719,0.000283333333333339,0.0237238979371716
"Ap,Pk,Sp,Wa,Zb","Hop",0.4767,0.0508376828740256,0.24205,0.0230527655607738
"Ap,Pk,Sc5,Sp,Wa,Zb","Hop",0.957833333333333,0.00344250393367001,-0.2157,0.0252464353919519
"Ap,Pk,Sc8,Sp,Wa,Zb","Hop",0.9513,0.00412643914289304,-0.156833333333333,0.0158209776351948
"Ku,Lt,Sp","Hop",0.920533333333333,0.0225671405661713,-0.137516666666667,0.0130642961285074
"Ku,Lt,Sc5,Sp","Hop",0.915733333333333,0.0377828113476662,-0.00654999999999998,0.00380755827269921
"Ku,Lt,Sc8,Sp","Hop",0.943316666666667,0.0143001165496417,-0.00668333333333334,0.0067276172106723
"Ap,Sp,Td,Wa","Hop",0.698416666666667,0.025194460369957,0.0338666666666666,0.0170760309596034
"Ap,Sc5,Sp,Td,Wa","Hop",0.9604,0.00144222051018562,-0.0903,0.0283908435943703
"Ap,Sc8,Sp,Td,Wa","Hop",0.960416666666667,0.00144597141511623,-0.0594333333333333,0.0149547094031724
"Ku,Lt,Mp,Pk,Td","Hop",0.765916666666667,0.00172143351115669,-0.1612,0.00712162200625678
"Ku,Lt,Mp,Pk,Sc5,Td","Hop",0.864833333333333,0.0401698373575663,-0.1197,0.0452408001697583
"Ku,Lt,Mp,Pk,Sc8,Td","Hop",0.842816666666667,0.0152238573736532,-0.0474166666666667,0.00757666373368478
"Ku,Lt,Pk,Wa,Zb","Hop",0.8834,0.00805543294925851,-0.218016666666667,0.0097244965593768
"Ku,Lt,Pk,Sc5,Wa,Zb","Hop",0.935383333333333,0.020184172842436,-0.160866666666667,0.0180230639274606
"Ku,Lt,Pk,Sc8,Wa,Zb","Hop",0.922733333333333,0.0240883962382998,-0.0756,0.0213654510834665
"Ku,Pk,Td,Zb","Hop",0.647433333333333,0.00872386573333943,0.01645,0.00443311402966359
"Ku,Pk,Sc5,Td,Zb","Hop",0.893333333333333,0.0312104683292855,-0.0395,0.0377537746457225
"Ku,Pk,Sc8,Td,Zb","Hop",0.85575,0.0265173528090569,0.0241833333333333,0.0238786690025498
"Td,Wa,Zb","Hop",0.68805,0.0237419460028027,-0.11245,0.0264358185044458
"Sc5,Td,Wa,Zb","Hop",0.947333333333333,0.00759939690589549,-0.1694,0.0146768525236168
"Sc8,Td,Wa,Zb","Hop",0.942516666666667,0.018657594521624,-0.0915166666666667,0.0136647661280145
"Lt,Mp,Pk,Wa","Hop",0.721516666666667,0.0116084380229784,-0.149183333333333,0.00512502032516294
"Lt,Mp,Pk,Sc5,Wa","Hop",0.896216666666667,0.0287429266661092,-0.114016666666667,0.040840921063724
"Lt,Mp,Pk,Sc8,Wa","Hop",0.8915,0.0136445043882143,-0.0785666666666667,0.0288862568245409
"Ap,Mp,Sp,Td,Wa","Hop",0.60855,0.0305298624300864,-0.0225166666666667,0.0390725713683312
"Ap,Mp,Sc5,Sp,Td,Wa","Hop",0.870933333333333,0.0152481419633125,-0.042,0.0286221505131952
"Ap,Mp,Sc8,Sp,Td,Wa","Hop",0.89155,0.0174714767549855,-0.0408166666666666,0.0143671790318536
"Ap","Hop",0.344983333333333,0.0258364245462358,0.215566666666667,0.0646210556501001
"","Hop",0,0,0.414283333333333,0.167803280162616
"Ku","Hop",0.521916666666667,0.118528945128746,-0.107266666666667,0.161485419878494
"Mp","Hop",0.343833333333333,0.125660428669225,-0.0823666666666667,0.0854616921979277
"Pk","Hop",0.27805,0.0306466556087284,0.183416666666667,0.0304697527612768
"Sp","Hop",0.952666666666667,0.000453688586293823,-0.266916666666667,0.0397604493603044
"Td","Hop",0.839533333333333,0.0222884686179499,-0.1311,0.0251037347819005
"Wa","Hop",0.292616666666667,0.00775650264831602,-0.0248,0.0702027955283834
"Zb","Hop",0.448016666666667,0.0398236843264575,0.149466666666667,0.0593569990256695
"Lt","Hop",0.95405,0.000867467578644874,-0.199866666666667,0.0247371347033832
"Sc5","Hop",0.941972222222222,0.0120023989309387,-0.0723888888888889,0.0385645142988205
"Sc8","Hop",0.947708823529412,0.00817225928365637,-0.0441588235294118,0.0272262999695993
"Ap,Pk,Sp,Zb","Ku",0.40655,0.083902219875281,0.0684999999999999,0.103917238704654
"Ap,Pk,Sc5,Sp,Zb","Ku",0.9578,0.00394239774756431,-0.6099,0.0475486855759442
"Ap,Pk,Sc8,Sp,Zb","Ku",0.954866666666667,0.000548482755730148,-0.110516666666667,0.0104386700940941
"Ap,Lt,Sp,Wa","Ku",0.958516666666667,0.0046022639356444,-0.0250333333333334,0.0127951488202887
"Ap,Lt,Sc5,Sp,Wa","Ku",0.94985,0.0178485993848257,0.00418333333333335,0.00876132600314203
"Ap,Lt,Sc8,Sp,Wa","Ku",0.958116666666667,0.0046627066531504,-0.00838333333333326,0.00596370969559495
"Hop,Lt,Td,Zb","Ku",0.923616666666667,0.0226872394383568,-0.0669166666666666,0.0293534211521133
"Hop,Lt,Sc5,Td,Zb","Ku",0.936483333333333,0.0262712929513059,0.00741666666666666,0.0081094594969907
"Hop,Lt,Sc8,Td,Zb","Ku",0.92845,0.00697262504369771,-0.0162333333333334,0.0172279085594664
"Ap,Mp,Sp,Zb","Ku",0.535833333333333,0.0526564415179505,0.0195833333333333,0.0675975283078704
"Ap,Mp,Sc5,Sp,Zb","Ku",0.92475,0.0290017671875353,-0.01345,0.0145386553711132
"Ap,Mp,Sc8,Sp,Zb","Ku",0.937666666666667,0.0172016229854433,-0.05255,0.0055061329442723
"Ap,Mp,Pk,Sp","Ku",0.413333333333333,0.0447209775534182,0.02605,0.0241449270034101
"Ap,Mp,Pk,Sc5,Sp","Ku",0.840633333333333,0.0142023178859414,-0.08905,0.0415154188224086
"Ap,Mp,Pk,Sc8,Sp","Ku",0.847916666666667,0.0127555216801719,-0.0495666666666667,0.0190823434968909
"Hop,Pk,Sp,Wa,Zb","Ku",0.71805,0.0275363396260287,0.00648333333333336,0.0149434210719411
"Hop,Pk,Sc5,Sp,Wa,Zb","Ku",0.81875,0.0291098351077432,-0.0548666666666667,0.0313449092092054
"Hop,Pk,Sc8,Sp,Wa,Zb","Ku",0.847933333333333,0.00933505936421049,-0.0178666666666667,0.0056005208091153
"Lt,Sp","Ku",0.927316666666667,0.0645477794609027,-0.00678333333333336,0.0617250826919926
"Ap,Sp,Td,Wa","Ku",0.698416666666667,0.025194460369957,0.0162499999999999,0.0123226417622196
"Ap,Sc5,Sp,Td,Wa","Ku",0.9604,0.00144222051018562,-0.0543666666666667,0.0149199810098181
"Ap,Sc8,Sp,Td,Wa","Ku",0.960416666666667,0.00144597141511623,-0.0368333333333334,0.0118722716163897
"Ap,Hop,Mp,Zb","Ku",0.344816666666667,0.00926800050352467,0.0916666666666667,0.0392334784760839
"Ap,Hop,Mp,Sc5,Zb","Ku",0.845783333333333,0.0163571340195443,-0.0983333333333333,0.0269845480476019
"Ap,Hop,Mp,Sc8,Zb","Ku",0.899416666666667,0.00498556248916139,-0.0651,0.00373229152130434
"Lt,Mp,Pk,Td,Wa","Ku",0.715516666666667,0.015860748195887,-0.0387166666666667,0.0388968293480758
"Lt,Mp,Pk,Sc5,Td,Wa","Ku",0.807883333333333,0.0350690865768319,-0.0295,0.0202109500024121
"Lt,Mp,Pk,Sc8,Td,Wa","Ku",0.81255,0.0440799557622282,-0.0125666666666667,0.0565752669753606
"Lt,Mp,Pk,Wa,Zb","Ku",0.682233333333333,0.00917828052160829,0.0339833333333334,0.0261729981724169
"Lt,Mp,Pk,Sc5,Wa,Zb","Ku",0.87625,0.0144437702834129,-0.0560833333333334,0.0404552015609036
"Lt,Mp,Pk,Sc8,Wa,Zb","Ku",0.892633333333333,0.028125181480896,-0.0692333333333334,0.00847353723856418
"Pk,Td,Wa,Zb","Ku",0.60135,0.0154910458007198,-0.045,0.0308614241408267
"Pk,Sc5,Td,Wa,Zb","Ku",0.8625,0.0356771285279519,-0.06525,0.0250885930255166
"Pk,Sc8,Td,Wa,Zb","Ku",0.838533333333333,0.0278721336343907,-0.0427666666666667,0.00912720293043459
"Td,Wa,Zb","Ku",0.68805,0.0237419460028027,0.00239999999999992,0.0510397639101122
"Sc5,Td,Wa,Zb","Ku",0.947333333333333,0.00759939690589549,-0.0617166666666667,0.00655311630702022
"Sc8,Td,Wa,Zb","Ku",0.942516666666667,0.018657594521624,-0.0298166666666666,0.00369605645700027
"Lt,Mp,Pk,Wa","Ku",0.721516666666667,0.0116084380229784,-0.0389833333333334,0.00727741941441692
"Lt,Mp,Pk,Sc5,Wa","Ku",0.896216666666667,0.0287429266661092,-0.0966833333333333,0.0230311926163917
"Lt,Mp,Pk,Sc8,Wa","Ku",0.8915,0.0136445043882143,-0.0584666666666667,0.0323562332995257
"Ap,Hop,Mp,Td,Wa","Ku",0.435566666666667,0.0293014646960409,-0.1192,0.0287009146195727
"Ap,Hop,Mp,Sc5,Td,Wa","Ku",0.808666666666667,0.0193394889625691,-0.0843333333333333,0.0275119216583163
"Ap,Hop,Mp,Sc8,Td,Wa","Ku",0.85495,0.0409337269253607,-0.0764166666666666,0.00891043395875503
"Hop","Ku",0.414283333333333,0.167803280162616,0.000366666666666663,0.208785741451214
"Ap","Ku",0.344983333333333,0.0258364245462358,0.0909333333333333,0.0838667146926201
"","Ku",0,0,0.521916666666667,0.118528945128746
"Mp","Ku",0.343833333333333,0.125660428669225,-0.196816666666667,0.0830077757401879
"Pk","Ku",0.27805,0.0306466556087284,-0.119983333333333,0.00770005411236399
"Td","Ku",0.839533333333333,0.0222884686179499,-0.3369,0.00661891229734919
"Lt","Ku",0.95405,0.000867467578644874,-0.233983333333333,0.0395506742462544
"Sp","Ku",0.952666666666667,0.000453688586293823,-0.5953,0.0150189879818847
"Wa","Ku",0.292616666666667,0.00775650264831602,0.0191,0.0723905553231911
"Zb","Ku",0.448016666666667,0.0398236843264575,0.157466666666667,0.0250086151822394
"Sc5","Ku",0.941972222222222,0.0120023989309387,0.0118111111111111,0.0130010632433227
"Sc8","Ku",0.947708823529412,0.00817225928365637,0.00702450980392159,0.00801821689601028
"Ap,Pk,Sp,Zb","Lt",0.40655,0.083902219875281,0.3454,0.105841662401911
"Ap,Pk,Sc5,Sp,Zb","Lt",0.9578,0.00394239774756431,-0.000916666666666677,0.000301385688667052
"Ap,Pk,Sc8,Sp,Zb","Lt",0.954866666666667,0.000548482755730148,0.0012833333333333,0.00485137437571391
"Ap,Sp,Td,Wa","Lt",0.698416666666667,0.025194460369957,0.227941666666667,0.0197192534933079
"Ap,Sc5,Sp,Td,Wa","Lt",0.9604,0.00144222051018562,-0.00467499999999998,0.00682930267304066
"Ap,Sc8,Sp,Td,Wa","Lt",0.960416666666667,0.00144597141511623,-0.02185,0.00361671466942021
"Hop,Td,Wa,Zb","Lt",0.5756,0.00316109158361474,0.2036,0.0274357886710041
"Hop,Sc5,Td,Wa,Zb","Lt",0.777933333333333,0.0154624006329332,0.164766666666667,0.0335836393699868
"Hop,Sc8,Td,Wa,Zb","Lt",0.851,0.00768976592621647,0.0484,0.0188565638439244
"Ap,Mp,Sp,Zb","Lt",0.535833333333333,0.0526564415179505,0.186383333333333,0.0728741437914253
"Ap,Mp,Sc5,Sp,Zb","Lt",0.92475,0.0290017671875353,0.0108333333333333,0.00390170902725119
"Ap,Mp,Sc8,Sp,Zb","Lt",0.937666666666667,0.0172016229854433,0.0134666666666667,0.0146376512232438
"Ap,Mp,Pk,Sp","Lt",0.413333333333333,0.0447209775534182,0.267083333333333,0.0262035461976683
"Ap,Mp,Pk,Sc5,Sp","Lt",0.840633333333333,0.0142023178859414,-0.0125166666666667,0.0211461777476056
"Ap,Mp,Pk,Sc8,Sp","Lt",0.847916666666667,0.0127555216801719,0.0907333333333333,0.0162300903673804
"Hop,Pk,Sp,Wa,Zb","Lt",0.71805,0.0275363396260287,0.0127,0.00889536396107538
"Hop,Pk,Sc5,Sp,Wa,Zb","Lt",0.81875,0.0291098351077432,0.0572833333333334,0.0372821114387763
"Hop,Pk,Sc8,Sp,Wa,Zb","Lt",0.847933333333333,0.00933505936421049,0.0885166666666666,0.0201698620058079
"Ku,Sp","Lt",0.357366666666667,0.0145679728628706,0.563166666666667,0.034903951543247
"Ap,Hop,Mp,Zb","Lt",0.344816666666667,0.00926800050352467,0.304583333333333,0.0189508794870669
"Ap,Hop,Mp,Sc5,Zb","Lt",0.845783333333333,0.0163571340195443,-0.0375166666666666,0.0372887494203457
"Ap,Hop,Mp,Sc8,Zb","Lt",0.899416666666667,0.00498556248916139,-0.03885,0.0369999662162007
"Ku,Mp,Pk,Td,Zb","Lt",0.536233333333333,0.041727009638043,0.195866666666667,0.0398078614513934
"Ku,Mp,Pk,Sc5,Td,Zb","Lt",0.719083333333333,0.0265480853044684,0.115216666666667,0.0217518581581743
"Ku,Mp,Pk,Sc8,Td,Zb","Lt",0.754616666666667,0.0476929065305663,0.106516666666667,0.0352312834471487
"Ku,Pk,Td,Wa,Zb","Lt",0.55635,0.044342784080389,0.280866666666667,0.0245066487577012
"Ku,Pk,Sc5,Td,Wa,Zb","Lt",0.79725,0.0199682873577079,0.0338999999999999,0.0404779878452474
"Ku,Pk,Sc8,Td,Wa,Zb","Lt",0.795766666666667,0.0217044542279536,0.0489166666666668,0.00898002412765876
"Ku,Pk,Td,Zb","Lt",0.647433333333333,0.00872386573333943,0.10145,0.0166556296788805
"Ku,Pk,Sc5,Td,Zb","Lt",0.893333333333333,0.0312104683292855,0.0153,0.0323503091175339
"Ku,Pk,Sc8,Td,Zb","Lt",0.85575,0.0265173528090569,0.0639166666666666,0.0142909353554388
"Td,Wa,Zb","Lt",0.68805,0.0237419460028027,0.241983333333333,0.0177171056703213
"Sc5,Td,Wa,Zb","Lt",0.947333333333333,0.00759939690589549,0.00658333333333331,0.00405719525452423
"Sc8,Td,Wa,Zb","Lt",0.942516666666667,0.018657594521624,0.00604999999999993,0.00124398553046251
"Ap,Hop,Mp,Td,Wa","Lt",0.435566666666667,0.0293014646960409,0.0837000000000001,0.0179633654975899
"Ap,Hop,Mp,Sc5,Td,Wa","Lt",0.808666666666667,0.0193394889625691,-0.0451499999999999,0.058075145286086
"Ap,Hop,Mp,Sc8,Td,Wa","Lt",0.85495,0.0409337269253607,-0.01115,0.0348298363475915
"Ap","Lt",0.344983333333333,0.0258364245462358,0.534466666666667,0.0583926864712811
"Hop","Lt",0.414283333333333,0.167803280162616,0.3399,0.143380621075514
"Ku","Lt",0.521916666666667,0.118528945128746,0.19815,0.100513767713682
"","Lt",0,0,0.95405,0.000867467578644874
"Mp","Lt",0.343833333333333,0.125660428669225,0.2859,0.137292233939142
"Pk","Lt",0.27805,0.0306466556087284,0.454983333333333,0.0454500916757418
"Sp","Lt",0.952666666666667,0.000453688586293823,-0.02535,0.0647755355053125
"Td","Lt",0.839533333333333,0.0222884686179499,0.0394666666666666,0.0157879964952281
"Wa","Lt",0.292616666666667,0.00775650264831602,0.654533333333333,0.0430889873788342
"Zb","Lt",0.448016666666667,0.0398236843264575,0.526683333333333,0.0398236843264575
"Sc5","Lt",0.941972222222222,0.0120023989309387,0.00647777777777773,0.0212958325044639
"Sc8","Lt",0.947708823529412,0.00817225928365637,-0.0102088235294118,0.0147239779842833
"Ap,Pk,Sp,Zb","Mp",0.40655,0.083902219875281,0.0566444444444444,0.0475074740708511
"Ap,Pk,Sc5,Sp,Zb","Mp",0.9578,0.00394239774756431,-0.0835944444444445,0.0203373106310471
"Ap,Pk,Sc8,Sp,Zb","Mp",0.954866666666667,0.000548482755730148,-0.116516666666667,0.00571156234706794
"Ap,Lt,Sp,Wa","Mp",0.958516666666667,0.0046022639356444,-0.0947333333333333,0.0111971350502408
"Ap,Lt,Sc5,Sp,Wa","Mp",0.94985,0.0178485993848257,0.00191666666666664,0.00371629295580063
"Ap,Lt,Sc8,Sp,Wa","Mp",0.958116666666667,0.0046627066531504,-0.0238166666666667,0.00931320746753403
"Hop,Lt,Td,Zb","Mp",0.923616666666667,0.0226872394383568,-0.214666666666667,0.0203053153960566
"Hop,Lt,Sc5,Td,Zb","Mp",0.936483333333333,0.0262712929513059,-0.01765,0.0234360832905159
"Hop,Lt,Sc8,Td,Zb","Mp",0.92845,0.00697262504369771,-0.126516666666667,0.030065775116124
"Ap,Hop,Ku,Lt","Mp",0.762516666666667,0.0435666252231376,-0.190516666666667,0.040156578954554
"Ap,Hop,Ku,Lt,Sc5","Mp",0.913516666666667,0.028026341775789,-0.12015,0.0225931958784055
"Ap,Hop,Ku,Lt,Sc8","Mp",0.902733333333333,0.0119754262276269,-0.1223,0.0179677488851553
"Hop,Pk,Sp,Wa,Zb","Mp",0.71805,0.0275363396260287,-0.128633333333333,0.0196881521056025
"Hop,Pk,Sc5,Sp,Wa,Zb","Mp",0.81875,0.0291098351077432,-0.0728333333333334,0.0102188958960023
"Hop,Pk,Sc8,Sp,Wa,Zb","Mp",0.847933333333333,0.00933505936421049,-0.0294666666666667,0.00449063841044164
"Ku,Lt,Sp","Mp",0.920533333333333,0.0225671405661713,-0.109416666666667,0.0446743867706468
"Ku,Lt,Sc5,Sp","Mp",0.915733333333333,0.0377828113476662,-0.0253500000000001,0.00589215580242074
"Ku,Lt,Sc8,Sp","Mp",0.943316666666667,0.0143001165496417,-0.00276666666666666,0.00332653473352284
"Ap,Sp,Td,Wa","Mp",0.698416666666667,0.025194460369957,-0.0898666666666667,0.0269055911165939
"Ap,Sc5,Sp,Td,Wa","Mp",0.9604,0.00144222051018562,-0.0894666666666667,0.0146617131786613
"Ap,Sc8,Sp,Td,Wa","Mp",0.960416666666667,0.00144597141511623,-0.0688666666666667,0.0188707666334288
"Ku,Lt,Pk,Td,Zb","Mp",0.748883333333333,0.0163594264365636,-0.0167833333333333,0.0242654761612736
"Ku,Lt,Pk,Sc5,Td,Zb","Mp",0.908633333333333,0.021144877236185,-0.0743333333333334,0.0247567330908853
"Ku,Lt,Pk,Sc8,Td,Zb","Mp",0.919666666666667,0.0236075376380794,-0.0585333333333333,0.0159055283890016
"Ku,Lt,Pk,Wa,Zb","Mp",0.8834,0.00805543294925851,-0.167183333333333,0.0247426925239217
"Ku,Lt,Pk,Sc5,Wa,Zb","Mp",0.935383333333333,0.020184172842436,-0.115216666666667,0.0197500210970352
"Ku,Lt,Pk,Sc8,Wa,Zb","Mp",0.922733333333333,0.0240883962382998,-0.0993333333333333,0.00975427256812793
"Ku,Pk,Td,Zb","Mp",0.647433333333333,0.00872386573333943,-0.1112,0.0345244478594517
"Ku,Pk,Sc5,Td,Zb","Mp",0.893333333333333,0.0312104683292855,-0.17425,0.00519687406043288
"Ku,Pk,Sc8,Td,Zb","Mp",0.85575,0.0265173528090569,-0.101133333333333,0.0227337487743076
"Td,Wa,Zb","Mp",0.68805,0.0237419460028027,-0.0788000000000001,0.0481046515422365
